objectId,conjectureId,frameRate,timeStamp,userId
Game,null,null,null,null
Level,null,null,null,null
PoseAuthoring,null,null,null,null
Users,null,null,null,null
_GameID,null,null,null,null
_UserSessions,null,null,null,null
